Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
descricao;despesas;despesas_adm;despesas_log;incremento_minimo;lance_inicial;lote;numero_visitas;titulo;url
;;;;;;;;;
"Cajamar/SP, Terreno, urbano, sem benfeitorias, designado como LOTE N.º32-B, desdobrado do LOTE N.º32, situado no Mini-Distrito-Industrial, distrito de JORDANÉSIA, município de CAJAMAR/SP, comarca de Jundiaí/SP, 2ª Circunscrição Imobiliária, com área de 3.820,645, mede 44,00m, de frente para a avenida Cajamar Ano 2.000; por 114,00m do lado esquerdo de quem da avenida olha para o lote, confrontando com o lote 32-A; do lado direito mede 110,60m de quem da avenida olha para o lote, confrontando com o lote 32-C; mede 26,00m nos fundos, confrontando com o lote 33. Localizado na Avenida Doutor Antonio João Abdalla, 32. Matrícula nº 54267 do 2º CRI de Jundiaí/SP. Obs: Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.";"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    2.000,00";"R$ 
               
                7.451.437,30";Lote 001;14;BANCO ITAU UNIBANCO S.A;http://www.vizeuonline.com.br/lotes/visualizar/182306
;;;;;;;;;
Juazeiro do Norte/CE, Centro, Prédio comercial situado na Avenida Padre Cícero, nº 1319, com terreno de 264,00 m², com área construída estimada no local em 264,00m² não averbada na matricula. Regularização e encargos serão por conta do comprador. Venda em “Caráter Ad Corpus” e no estado em que se encontra. Todas as despesas “Propter Rem”, ou seja, Condomínio, IPTU, etc.... com fato gerador até a data da arrematação serão de responsabilidade do vendedor. Desocupado. Matricula sob nº 5.714 no Cartório de Registro de Imóveis e Anexos – 2º Ofício da Comarca de Juazeiro do Norte/CE. Condições de pagamento constante no edital.;"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    5.000,00";"R$ 
               
                340.000,00";Lote 001;361;FINANCEIRA ALFA S.A;http://www.vizeuonline.com.br/lotes/visualizar/176551
;;;;;;;;;
Goiânia/GO, Bairro Jd. Mariliza, Casa nº 02, com 117,14m² de área útil coberta e 136,18m² de área privativa descoberta e terreno com 253,32m², contendo garagem, sala de estar/jantar, cozinha, 03 quartos, sendo um suíte, WC social, circulação e área de serviço. Localizado na Rua Mogno, 02. Matricula nº 74099 do RI da 4º Circunscrição de Goiânia/GO. Obs: Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.;"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    2.000,00";"R$ 
               
                136.836,86";Lote 001;17;BANCO ITAU UNIBANCO S.A;http://www.vizeuonline.com.br/lotes/visualizar/182264
;;;;;;;;;
Sorocaba/SP, Bairro Jd. São Judas Tadeu, Casa com 125,80m² e terreno com 185,60m², localizado na Rua Gregório Gomes Penha, 26. Matrícula nº 137043 do 1º RI de Sorocaba/SP. Obs: Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.;"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    2.000,00";"R$ 
               
                202.899,48";Lote 001;69;BANCO ITAU UNIBANCO S.A;http://www.vizeuonline.com.br/lotes/visualizar/182168
;;;;;;;;;
Ribeirão Preto/SP, Bairro Silvio Passalacqua, Casa com 131,49m² e terreno com 160,00m², do lote 03, Quadra 03 Localizado na Rua Antonio Corral Milena, 355.  Matrícula nº 112701 do 1º Oficial de RI de Ribeirão Preto/SP. Obs: Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.;"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    2.000,00";"R$ 
               
                282.106,32";Lote 001;154;BANCO SICOOB CREDIMOGIANA;http://www.vizeuonline.com.br/lotes/visualizar/182169
;;;;;;;;;
São Paulo/SP, Bairro Vila Ede, Casa residencial e respectivo terreno com 200,00m². Localizado na Rua Ponte Nova, 411. Obs: Conforme AV2 da matricula “.... é feita esta averbação para ficar constado que o prédio nº 411 da Rua Ponte Nova, tem atualmente o nº 365 da referida rua.” Matricula nº 48498 do 15º RI de São Paulo/SP. Obs: Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.;"R$ 
                0,00";"R$ 
                0,00";"R$ 
                0,00";"R$ 
             
                    2.000,00";"R$ 
               
                473.117,60";Lote 001;345;BANCO ITAU UNIBANCO S.A;http://www.vizeuonline.com.br/lotes/visualizar/180711
;;;;;;;;;
